"date","value","var"
2014-08-16,298.842532022332,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-17,299.119167667323,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-18,299.177624027722,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-19,299.084016955515,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-20,298.417371371136,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-21,298.223501310203,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-22,298.36751887111,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-23,298.507742897706,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-24,298.221087995597,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-25,298.023481361208,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-26,297.889147973022,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-27,297.986131245462,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-28,297.701615102902,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-29,297.594778453293,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-30,297.46873619816,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-31,296.847537748171,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-01,295.955186151474,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-02,295.884278397038,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-03,296.279088367639,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-04,296.589335134938,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-05,296.318764014084,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-06,295.760838381842,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-07,295.342830382488,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-08,295.082091902323,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-09,294.903124726264,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-10,294.538625407351,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-11,294.205152636687,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-12,294.304252801547,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-13,294.756211669049,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-14,295.268834681568,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-15,295.511799079565,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-16,295.502628165497,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-17,294.939250661647,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-18,294.787902687229,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-19,294.566755834461,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-20,294.125009324871,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-21,293.133192665514,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-22,292.891887487511,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-23,292.865151821827,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-24,293.131393794623,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-09-25,292.339255896349,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
